symbol,Date,Open,High,Low,Close,Adj Close,Volume
nio,12/11/2020,42.48,43.630001,41.259998,41.98,41.98,147076100
nio,12/14/2020,39.939999,41.48,39.509998,40.98,40.98,171598200
nio,12/15/2020,42.470001,43.84,41.27,43.5,43.5,132336900
nio,12/16/2020,44.25,45.259998,43.330002,44.669998,44.669998,120109600
nio,12/17/2020,45.169998,46.049999,43.900002,46,46,130003700
nio,12/18/2020,45.889999,48,45.52,46.720001,46.720001,126251100
nio,12/21/2020,45.630001,49.490002,45.02,48.950001,48.950001,132558100
nio,12/22/2020,49.610001,49.84,46.529999,47.580002,47.580002,117118300
nio,12/23/2020,47.48,48.360001,45.810001,47.009998,47.009998,81247900
nio,12/24/2020,46.880001,47.130001,45.349998,45.77,45.77,60582500
nio,12/28/2020,46.669998,46.849998,43.669998,44.060001,44.060001,105078000
nio,12/29/2020,43.700001,46.279999,42.23,46.139999,46.139999,120689900
nio,12/30/2020,46.5,48.380001,45.720001,48.380001,48.380001,116691700
nio,12/31/2020,48.459999,50.5,47.77,48.740002,48.740002,129344300
nio,1/4/2021,51.200001,54.450001,50.669998,53.490002,53.490002,213109700
nio,1/5/2021,51.970001,53.75,50.400002,53.200001,53.200001,147474800
nio,1/6/2021,54.02,55.279999,49.080002,50.5,50.5,176397700
nio,1/7/2021,53.049999,54.610001,52.349998,54.279999,54.279999,119429200
nio,1/8/2021,57.759998,59.310001,55.880001,58.919998,58.919998,218512800
nio,1/11/2021,64.949997,66.989998,62.189999,62.700001,62.700001,279770300
nio,1/12/2021,61.419998,64.129997,60.419998,62.040001,62.040001,184854200
nio,1/13/2021,62.939999,64.410004,61.41,62.150002,62.150002,116059200
nio,1/14/2021,62.630001,63.23,60.040001,60.869999,60.869999,99338400
nio,1/15/2021,59.84,60.220001,55.669998,56.27,56.27,132247900
nio,1/19/2021,58.209999,59.009998,56.41,58.439999,58.439999,99561100
nio,1/20/2021,59.849998,60.09,56.189999,57.709999,57.709999,94983600
nio,1/21/2021,57.02,58.580002,55.880001,58.34,58.34,73119500
nio,1/22/2021,58.950001,62.169998,58.32,61.950001,61.950001,133918100
nio,1/25/2021,64.050003,64.519997,58.349998,59.990002,59.990002,111986400
nio,1/26/2021,60.040001,60.669998,58.639999,60.310001,60.310001,70393300
nio,1/27/2021,57.950001,59.790001,56.599998,57.150002,57.150002,73078300
nio,1/28/2021,56.759998,59.459999,55.150002,58.369999,58.369999,73955100
nio,1/29/2021,59.029999,60.709999,56.439999,57,57,78678200
nio,2/1/2021,59.07,59.119999,54.369999,56.990002,56.990002,79878700
nio,2/2/2021,57.060001,57.540001,54.509998,55.77,55.77,66234100
nio,2/3/2021,55.959999,58.720001,54.84,57.98,57.98,80122300
nio,2/4/2021,58.790001,59.200001,57.110001,57.599998,57.599998,48667900
